uniprot_id,hgnc_symbol,canonical_smiles,concentration_100,concentration_500,concentration_1000,concentration_5000,concentration_10000,concentration_50000,concentration_100000,concentration_1000000,activity_value
P09619,PDGFRB,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,84.79666666666667,,90.6,,76.35,,7.769551078621726
P10721,KIT,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,48.121428571428574,,89.74333333333334,,84.8,,49.4,,7.823908740944319
P11362,FGFR1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,92.55,,,,,,6.292429823902063
P12931,SRC,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,83.9,,,,,,6.704432900037521
P15056,BRAF,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,-2.52,,,,,,5.267606240177032
P16234,PDGFRA,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,85.66,,93.0,,71.4,,7.566236794400129
P17948,FLT1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,96.1,,79.34,,88.0,,83.0,,7.1362497045763265
P22455,FGFR4,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,54.55,,,,,,5.773008504259461
P22607,FGFR3,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,97.05,,,,,,7.176525770829699
P24723,PRKCH,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,2.98,,,,,,4.698970004336019
P24941,CDK2,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,5.483366619,,,,,,3.886056647693163
P27448,MARK3,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,85.91,,,,,,8.568636235841012
P30530,AXL,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,96.91499999999999,,,,,,8.045757490560675
P31749,AKT1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,10.67,,,,,,5.115496064528113
P33981,TTK,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,27.89,,,,,,6.479686812223895
P35916,FLT4,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,81.3,,95.97999999999999,,,,,,8.050122295963126
P35968,KDR,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,87.3,,94.10000000000001,,86.25999999999999,,89.7,100.0,7.5361095753263125
P36888,FLT3,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,76.93333333333334,,98.45333333333333,92.3,100.0,94.8,29.0,,7.79997073344623
P43405,SYK,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,46.03,,,,,,4.698970004336019
P48729,CSNK1A1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,64.86,,,,,,9.0
